review_record_id,annotation_id,review_version,review_date,confirmation_basis_id,review_date_basis,review_status,pre_review_codes,post_review_codes,pre_review_scope,post_review_scope,codes_amended,review_source_ids,review_locator,public_reason,new_locator_check_status
R20260908-K182034:action,K182034:action,REVIEW-20260908-v3,2026-09-08,HC-20260908-002,AUTHOR_SUPPLIED_CONFIRMATION_DATE,AUTHOR_REPORTED_EXPERT_CONFIRMATION,INTERPRETATION_OR_DIAGNOSIS;MONITORING_OR_FOLLOW_UP,INTERPRETATION_OR_DIAGNOSIS;MONITORING_OR_FOLLOW_UP,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,false,R20260908-S01,"R20260908-S01, physical PDF page 5: interpretation and follow-up indications, including diagnostic responsibility.","The modules support clinicians in clinical interpretation and lesion follow-up, with diagnostic responsibility retained by the clinician.",PAGE_REFERENCES_ONLY_NOT_NEW_MACHINE_SPANS
R20260908-K182034:component_status,K182034:component_status,REVIEW-20260908-v3,2026-09-08,HC-20260908-002,AUTHOR_SUPPLIED_CONFIRMATION_DATE,AUTHOR_REPORTED_EXPERT_CONFIRMATION,MULTIPLE,MULTIPLE,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,false,R20260908-S01,"R20260908-S01, physical PDF pages 5-6: separately described Cardio AI and Oncology AI indications.","Cardio AI and Oncology AI have distinguishable clinical purposes, supporting multiple clinical functions.",PAGE_REFERENCES_ONLY_NOT_NEW_MACHINE_SPANS
R20260908-K182034:input,K182034:input,REVIEW-20260908-v3,2026-09-08,HC-20260908-002,AUTHOR_SUPPLIED_CONFIRMATION_DATE,AUTHOR_REPORTED_EXPERT_CONFIRMATION,MEDICAL_IMAGE,MEDICAL_IMAGE,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,false,R20260908-S01,"R20260908-S01, physical PDF pages 4-6: device description, module indications, and modality entries.",The Cardio and Oncology modules process MR and CT clinical images.,PAGE_REFERENCES_ONLY_NOT_NEW_MACHINE_SPANS
R20260908-K182034:output,K182034:output,REVIEW-20260908-v3,2026-09-08,HC-20260908-002,AUTHOR_SUPPLIED_CONFIRMATION_DATE,AUTHOR_REPORTED_EXPERT_CONFIRMATION,MEASUREMENT_OR_QUANTIFICATION,MEASUREMENT_OR_QUANTIFICATION;SEGMENTATION_OR_LOCALIZATION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,true,R20260908-S01,"R20260908-S01, physical PDF pages 5-7; page 7, Table 5.1, proposed-device column: segmentation, landmarks, and contours.","Semiautomatic region-of-interest segmentation and automatically generated, editable landmarks and contours support segmentation/localization alongside quantitative measurements.",PAGE_REFERENCES_ONLY_NOT_NEW_MACHINE_SPANS
R20260908-K182034:setting,K182034:setting,REVIEW-20260908-v3,2026-09-08,HC-20260908-002,AUTHOR_SUPPLIED_CONFIRMATION_DATE,AUTHOR_REPORTED_EXPERT_CONFIRMATION,DIAGNOSTIC_INTERPRETATION;MONITORING,DIAGNOSTIC_INTERPRETATION;MONITORING,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,false,R20260908-S01,"R20260908-S01, physical PDF page 5: Oncology AI indications and shared intended-use statements.",The described clinical contexts are image interpretation and oncology lesion follow-up.,PAGE_REFERENCES_ONLY_NOT_NEW_MACHINE_SPANS
R20260908-K182034:user,K182034:user,REVIEW-20260908-v3,2026-09-08,HC-20260908-002,AUTHOR_SUPPLIED_CONFIRMATION_DATE,AUTHOR_REPORTED_EXPERT_CONFIRMATION,OTHER_CLINICIAN,OTHER_CLINICIAN,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,false,R20260908-S01,"R20260908-S01, physical PDF page 5: final paragraph of Indications for Use.",The indications specify trained healthcare professionals without restricting use to a particular medical specialty.,PAGE_REFERENCES_ONLY_NOT_NEW_MACHINE_SPANS
R20260908-K190013:action,K190013:action,REVIEW-20260908-v3,2026-09-08,HC-20260908-002,AUTHOR_SUPPLIED_CONFIRMATION_DATE,AUTHOR_REPORTED_EXPERT_CONFIRMATION,PATIENT_SELF_MANAGEMENT;THERAPY_DOSE_OR_DEVICE_CONTROL,NOT_ASSESSABLE,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,true,R20260908-S02,"R20260908-S02, physical PDF pages 4 and 6: self-management, prescription-based calculation, and continued professional care.",The device supports self-management and insulin dose calculation from prescribed regimens. Attribution of these actions to the target AI/algorithmic function remains unresolved.,PAGE_REFERENCES_ONLY_NOT_NEW_MACHINE_SPANS
R20260908-K190013:component_status,K190013:component_status,REVIEW-20260908-v3,2026-09-08,HC-20260908-002,AUTHOR_SUPPLIED_CONFIRMATION_DATE,AUTHOR_REPORTED_EXPERT_CONFIRMATION,MULTIPLE,UNCERTAIN,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,true,R20260908-S02;R20260908-S04;R20260908-S05;R20260908-S03,"R20260908-S02, physical PDF pages 4, 6, and 10; R20260908-S04, physical PDF pages 8-9; R20260908-S05, physical PDF page 7; comparison with R20260908-S03, physical PDF pages 5-6.",The two described device purposes have not been sufficiently attributed to the target AI/algorithmic function to resolve clinical function grouping.,PAGE_REFERENCES_ONLY_NOT_NEW_MACHINE_SPANS
R20260908-K190013:input,K190013:input,REVIEW-20260908-v3,2026-09-08,HC-20260908-002,AUTHOR_SUPPLIED_CONFIRMATION_DATE,AUTHOR_REPORTED_EXPERT_CONFIRMATION,CLINICAL_TABULAR_OR_TEXT,NOT_ASSESSABLE,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,true,R20260908-S02,"R20260908-S02, physical PDF pages 4 and 6: prescription-calculation inputs, data entry, and restrictions on CGM display.","Device-level inputs include glucose values, carbohydrate information, and prescribed regimens; delayed CGM data are display-only. Attribution of these inputs to the target AI/algorithmic function remains unresolved.",PAGE_REFERENCES_ONLY_NOT_NEW_MACHINE_SPANS
R20260908-K190013:output,K190013:output,REVIEW-20260908-v3,2026-09-08,HC-20260908-002,AUTHOR_SUPPLIED_CONFIRMATION_DATE,AUTHOR_REPORTED_EXPERT_CONFIRMATION,RECOMMENDATION_OR_PLANNING,NOT_ASSESSABLE,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,true,R20260908-S02;R20260908-S04,"R20260908-S02, physical PDF pages 4 and 6: coaching and calculator functions; page 10, Comment 1. R20260908-S04, physical PDF page 8: related-version functions.",The device provides coaching and prescribed-dose recommendations. The described linear decay calculation does not resolve attribution of these outputs to the target AI/algorithmic function.,PAGE_REFERENCES_ONLY_NOT_NEW_MACHINE_SPANS
