annotation_id,recorded_source_url,subject_source_url,source_relationship,support_scope_note,source_caution_codes
K210645:component_status,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200569.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,EXPLICIT_ML_CONTINUITY,"The current summary explicitly states unchanged machine-learning functionality relative to K200569. Detailed AI input, planning/segmentation, and user passages remain in K200569; a current-summary bridge must accompany that associated source. This verifies a source relationship, not every current user role or the exhaustiveness of the function inventory.",FUNCTION_INVENTORY_NOT_SEMANTICALLY_REVALIDATED
K210645:input,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200569.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,EXPLICIT_ML_CONTINUITY,"The current summary explicitly states unchanged machine-learning functionality relative to K200569. Detailed AI input, planning/segmentation, and user passages remain in K200569; a current-summary bridge must accompany that associated source. This verifies a source relationship, not every current user role or the exhaustiveness of the function inventory.",
K210645:output,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200569.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,EXPLICIT_ML_CONTINUITY,"The current summary explicitly states unchanged machine-learning functionality relative to K200569. Detailed AI input, planning/segmentation, and user passages remain in K200569; a current-summary bridge must accompany that associated source. This verifies a source relationship, not every current user role or the exhaustiveness of the function inventory.",
K210645:user,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200569.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210645.pdf,EXPLICIT_ML_CONTINUITY,"The current summary explicitly states unchanged machine-learning functionality relative to K200569. Detailed AI input, planning/segmentation, and user passages remain in K200569; a current-summary bridge must accompany that associated source. This verifies a source relationship, not every current user role or the exhaustiveness of the function inventory.",FEATURE_CONTEXT_TRANSFER_REQUIRES_SCOPE_QUALIFICATION
K211867:component_status,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200569.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K211867.pdf,EXPLICIT_MULTI_HOP_ML_CONTINUITY,"The current predicate is K210645, not K200569. The documented chain is K211867 -> K210645 -> K200569, with an explicit unchanged-machine-learning statement at each step. Retain both intermediate and original-detail anchors.",FUNCTION_INVENTORY_NOT_SEMANTICALLY_REVALIDATED;MULTI_HOP_CHAIN_REQUIRED
K211867:input,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200569.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K211867.pdf,EXPLICIT_MULTI_HOP_ML_CONTINUITY,"The current predicate is K210645, not K200569. The documented chain is K211867 -> K210645 -> K200569, with an explicit unchanged-machine-learning statement at each step. Retain both intermediate and original-detail anchors.",MULTI_HOP_CHAIN_REQUIRED
K211867:output,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200569.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K211867.pdf,EXPLICIT_MULTI_HOP_ML_CONTINUITY,"The current predicate is K210645, not K200569. The documented chain is K211867 -> K210645 -> K200569, with an explicit unchanged-machine-learning statement at each step. Retain both intermediate and original-detail anchors.",MULTI_HOP_CHAIN_REQUIRED
K211867:user,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200569.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K211867.pdf,EXPLICIT_MULTI_HOP_ML_CONTINUITY,"The current predicate is K210645, not K200569. The documented chain is K211867 -> K210645 -> K200569, with an explicit unchanged-machine-learning statement at each step. Retain both intermediate and original-detail anchors.",FEATURE_CONTEXT_TRANSFER_REQUIRES_SCOPE_QUALIFICATION;MULTI_HOP_CHAIN_REQUIRED
K213603:action,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K202238.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213603.pdf,GENERAL_SOFTWARE_CONTINUITY_FEATURE_NOT_RESTATED,"The current summary supports unchanged image-processing/software continuity, but does not name AIR Recon DL or restate its operator choices. The AIR-specific details remain associated-source evidence, not direct statements in K213603.",FEATURE_NOT_NAMED_IN_CURRENT_SUMMARY
K213603:component_status,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K202238.pdf,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213603.pdf,GENERAL_SOFTWARE_CONTINUITY_FEATURE_NOT_RESTATED,"The current summary supports unchanged image-processing/software continuity, but does not name AIR Recon DL or restate its operator choices. The AIR-specific details remain associated-source evidence, not direct statements in K213603.",FEATURE_NOT_NAMED_IN_CURRENT_SUMMARY;FUNCTION_INVENTORY_NOT_SEMANTICALLY_REVALIDATED
